     4881	2026-03-19 07:14:20	1	0	1	0
     5749	2026-03-19 07:19:31	1	0	1	0
     1632	2026-03-19 07:30:33	1	0	1	0
     8090	2026-03-19 07:34:57	1	0	1	0
     7818	2026-03-19 07:36:05	1	0	1	0
     6275	2026-03-19 07:37:59	1	0	1	0
     8090	2026-03-19 07:38:03	1	0	1	0
     7056	2026-03-19 07:50:03	1	1	1	0
     3392	2026-03-19 07:50:08	1	1	1	0
     5837	2026-03-19 07:56:18	1	1	1	0
     3325	2026-03-19 07:56:24	1	1	1	0
     6301	2026-03-19 08:00:42	1	1	1	0
     5378	2026-03-19 08:07:51	1	1	1	0
     6069	2026-03-19 08:08:58	1	1	1	0
     9880	2026-03-19 08:09:07	1	1	1	0
     8090	2026-03-19 12:22:58	1	1	1	0
     2728	2026-03-19 19:11:12	1	1	1	0
     7550	2026-03-19 19:17:56	1	1	1	0
     8385	2026-03-19 19:25:17	1	1	1	0
     3046	2026-03-19 19:30:13	1	1	1	0
      187	2026-03-19 19:32:31	1	1	1	0
     6275	2026-03-19 19:50:54	1	1	1	0
     7818	2026-03-19 19:53:00	1	1	1	0
     4641	2026-03-19 22:09:48	1	1	1	0
     6069	2026-03-20 07:03:50	1	0	1	0
     7056	2026-03-20 07:12:30	1	0	1	0
     3325	2026-03-20 07:22:36	1	0	1	0
     5837	2026-03-20 07:24:05	1	0	1	0
     9880	2026-03-20 07:30:57	1	0	1	0
     5191	2026-03-20 07:34:21	1	0	1	0
     7377	2026-03-20 07:34:27	1	0	1	0
     4641	2026-03-20 07:54:27	1	0	1	0
     3046	2026-03-20 08:03:49	1	0	1	0
     2728	2026-03-20 08:03:53	1	0	1	0
     7550	2026-03-20 08:04:06	1	0	1	0
     8385	2026-03-20 08:04:21	1	0	1	0
      187	2026-03-20 08:04:41	1	0	1	0
     3392	2026-03-20 08:10:34	1	0	1	0
     5749	2026-03-20 08:22:46	1	0	1	0
     1632	2026-03-20 19:31:35	1	0	1	0
     8335	2026-03-20 19:35:04	1	0	1	0
     6275	2026-03-20 19:35:57	1	0	1	0
     7818	2026-03-20 19:39:21	1	0	1	0
     8090	2026-03-20 19:40:53	1	0	1	0
     6069	2026-03-20 19:50:29	1	1	1	0
     7056	2026-03-20 19:55:33	1	1	1	0
     9880	2026-03-20 19:56:17	1	1	1	0
     5837	2026-03-20 19:56:30	1	1	1	0
     3325	2026-03-20 19:56:35	1	1	1	0
     2728	2026-03-21 07:07:58	1	1	1	0
     6301	2026-03-21 07:13:43	1	1	1	0
     5378	2026-03-21 07:26:49	1	0	1	0
     3046	2026-03-21 07:31:17	1	1	1	0
     7550	2026-03-21 07:33:06	1	1	1	0
     7550	2026-03-21 07:34:41	1	1	1	0
      187	2026-03-21 07:34:46	1	1	1	0
     8335	2026-03-21 07:42:53	1	1	1	0
     6275	2026-03-21 07:50:12	1	1	1	0
     8090	2026-03-21 07:54:26	1	1	1	0
     8090	2026-03-21 07:55:55	1	1	1	0
     7818	2026-03-21 07:56:45	1	1	1	0
     5191	2026-03-21 07:57:25	1	1	1	0
     7377	2026-03-21 07:57:31	1	1	1	0
     1632	2026-03-21 07:58:53	1	1	1	0
     4881	2026-03-21 07:59:02	1	1	1	0
     4641	2026-03-21 19:21:46	1	1	1	0
     6069	2026-03-22 07:00:11	1	1	1	0
     9880	2026-03-22 07:12:30	1	1	1	0
     7056	2026-03-22 07:16:05	1	0	1	0
     3325	2026-03-22 07:21:40	1	0	1	0
     5837	2026-03-22 07:23:16	1	0	1	0
     3392	2026-03-22 07:32:54	1	0	1	0
     5749	2026-03-22 07:42:58	1	0	1	0
     2728	2026-03-22 07:44:40	1	0	1	0
      187	2026-03-22 07:44:48	1	0	1	0
     3046	2026-03-22 07:44:56	1	0	1	0
     4641	2026-03-22 07:49:08	1	0	1	0
     7550	2026-03-22 07:55:44	1	0	1	0
     7550	2026-03-22 07:58:42	1	0	1	0
     8385	2026-03-22 07:58:47	1	0	1	0
     6301	2026-03-22 08:03:25	1	0	1	0
     5378	2026-03-22 08:07:46	1	0	1	0
     4641	2026-03-22 19:52:27	1	0	1	0
     1632	2026-03-23 07:29:11	1	0	1	0
     4881	2026-03-23 07:29:16	1	0	1	0
     8090	2026-03-23 07:29:51	1	0	1	0
     5191	2026-03-23 07:37:42	1	0	1	0
     7377	2026-03-23 07:37:51	1	0	1	0
     6275	2026-03-23 07:39:02	1	0	1	0
     7818	2026-03-23 07:42:29	1	0	1	0
     6069	2026-03-23 07:50:18	1	1	1	0
     7056	2026-03-23 07:51:50	1	1	1	0
     9880	2026-03-23 07:52:26	1	1	1	0
     5837	2026-03-23 07:53:15	1	1	1	0
     3325	2026-03-23 07:53:31	1	1	1	0
     3325	2026-03-23 07:54:36	1	1	1	0
     4641	2026-03-23 07:55:11	1	1	1	0
     3392	2026-03-23 08:08:30	1	1	1	0
     5749	2026-03-23 08:11:11	1	1	1	0
     4641	2026-03-23 19:56:28	1	1	1	0
     4641	2026-03-23 20:01:20	1	1	1	0
     2728	2026-03-24 07:00:07	1	1	1	0
     6301	2026-03-24 07:12:42	1	1	1	0
      187	2026-03-24 07:15:00	1	1	1	0
     4641	2026-03-24 07:20:55	1	1	1	0
     7550	2026-03-24 07:21:52	1	1	1	0
     3046	2026-03-24 07:30:26	1	1	1	0
     8385	2026-03-24 07:30:41	1	1	1	0
     5378	2026-03-24 07:33:15	1	1	1	0
     6275	2026-03-24 07:49:02	1	1	1	0
     7818	2026-03-24 07:52:04	1	1	1	0
     8090	2026-03-24 07:52:27	1	1	1	0
     1632	2026-03-24 07:59:19	1	1	1	0
     5191	2026-03-24 07:59:38	1	1	1	0
     7377	2026-03-24 08:00:18	1	1	1	0
     4641	2026-03-24 19:39:08	1	1	1	0
     6069	2026-03-25 06:58:30	1	0	1	0
     3392	2026-03-25 07:12:00	1	0	1	0
     7056	2026-03-25 07:20:47	1	0	1	0
     9880	2026-03-25 07:20:57	1	0	1	0
     3325	2026-03-25 07:23:06	1	0	1	0
     5837	2026-03-25 07:24:22	1	0	1	0
     5749	2026-03-25 07:27:10	1	0	1	0
     2728	2026-03-25 07:44:55	1	0	1	0
     3046	2026-03-25 07:45:01	1	0	1	0
      187	2026-03-25 07:51:34	1	0	1	0
     4641	2026-03-25 07:51:58	1	0	1	0
     8385	2026-03-25 07:52:45	1	0	1	0
     7550	2026-03-25 07:54:25	1	0	1	0
     7550	2026-03-25 07:55:41	1	0	1	0
     6301	2026-03-25 08:06:51	1	0	1	0
     5378	2026-03-25 08:44:59	1	0	1	0
     4641	2026-03-25 19:39:49	1	0	1	0
     1632	2026-03-26 07:28:58	1	0	1	0
     8090	2026-03-26 07:31:47	1	0	1	0
     8090	2026-03-26 07:33:39	1	0	1	0
     5191	2026-03-26 07:39:18	1	0	1	0
     4881	2026-03-26 07:39:28	1	0	1	0
     7377	2026-03-26 07:39:41	1	0	1	0
