        1	2024-11-23 10:41:53	1	0	15	0
        1	2024-11-23 10:41:55	1	0	15	0
        1	2024-11-23 11:26:48	1	0	15	0
        1	2024-11-23 11:29:42	1	0	3	0
        1	2024-11-24 10:16:03	1	0	15	0
        1	2024-11-24 11:28:49	1	0	1	0
        1	2024-11-24 16:07:55	1	0	4	0
        1	2024-11-25 10:07:20	1	0	4	0
        1	2024-11-25 10:08:31	1	0	1	0
      483	2024-11-25 10:10:26	1	0	15	0
        1	2024-11-25 10:10:44	1	0	4	0
        1	2024-11-25 13:52:12	1	0	1	0
        1	2024-11-25 14:11:54	1	0	1	0
      483	2024-11-25 14:51:09	1	0	15	0
        1	2024-11-25 15:16:44	1	0	4	0
      483	2024-11-26 08:09:22	1	0	15	0
        1	2024-11-26 08:12:12	1	0	4	0
        1	2024-11-26 08:28:18	1	0	4	0
        1	2024-11-26 08:46:59	1	0	4	0
        1	2024-11-26 12:59:01	1	0	4	0
        1	2024-11-26 13:20:07	1	0	4	0
        1	2024-11-30 11:46:29	1	0	1	0
        1	2024-11-30 12:02:34	1	0	1	0
        1	2024-11-30 15:43:56	1	0	1	0
        1	2024-12-01 12:58:18	1	0	1	0
      187	2024-12-01 19:27:14	1	0	1	0
     5044	2024-12-01 19:29:01	1	0	1	0
     9880	2024-12-01 19:29:27	1	0	1	0
     8335	2024-12-01 19:29:35	1	0	1	0
     8483	2024-12-01 19:31:34	1	0	1	0
     2115	2024-12-02 07:48:49	1	0	1	0
     1175	2024-12-02 07:48:56	1	0	1	0
     4641	2024-12-02 07:49:24	1	0	1	0
     9451	2024-12-02 07:54:19	1	0	1	0
     1169	2024-12-02 07:54:27	1	0	1	0
     8483	2024-12-02 08:00:47	1	0	1	0
     8335	2024-12-02 08:11:02	1	0	1	0
     9880	2024-12-02 08:11:18	1	0	1	0
     5044	2024-12-02 08:11:52	1	0	1	0
      187	2024-12-02 08:11:59	1	0	1	0
     6069	2024-12-02 19:34:23	1	0	1	0
     4031	2024-12-02 19:35:02	1	0	1	0
      442	2024-12-02 19:49:47	1	0	1	0
     8090	2024-12-02 19:57:29	1	0	1	0
     1175	2024-12-02 20:06:11	1	0	1	0
     4641	2024-12-02 20:06:21	1	0	1	0
     9451	2024-12-02 20:06:44	1	0	1	0
     1169	2024-12-02 20:20:07	1	0	1	0
     2115	2024-12-02 20:32:09	1	0	1	0
     5044	2024-12-03 07:36:37	1	0	1	0
     9880	2024-12-03 07:36:45	1	0	1	0
     8335	2024-12-03 07:36:58	1	0	1	0
     8483	2024-12-03 07:37:27	1	0	1	0
